所属区,初中学校代码,初中学校名称,招生高中名称,招生高中代码,分配名额数
静安区,65058,上海戏剧学院附属静安学校,上海市新中高级中学,62003,2
静安区,65058,上海戏剧学院附属静安学校,上海市市北中学,62004,2
静安区,65058,上海戏剧学院附属静安学校,上海市回民中学,62011,1
静安区,65058,上海戏剧学院附属静安学校,上海市第六十中学,63004,2
静安区,65058,上海戏剧学院附属静安学校,上海市华东模范中学,64001,1
静安区,65078,上海市静安区大宁国际学校,上海市市西中学,62001,3
静安区,65078,上海市静安区大宁国际学校,上海市育才中学,62002,3
静安区,65078,上海市静安区大宁国际学校,上海市新中高级中学,62003,3
静安区,65078,上海市静安区大宁国际学校,上海市市北中学,62004,3
静安区,65078,上海市静安区大宁国际学校,上海市回民中学,62011,2
静安区,65078,上海市静安区大宁国际学校,上海市第六十中学,63004,2
静安区,65078,上海市静安区大宁国际学校,上海市华东模范中学,64001,2
静安区,65078,上海市静安区大宁国际学校,上海交通大学附属中学,102056,1
宝山区,131002,上海市淞谊中学,上海市行知中学,0,8
宝山区,131002,上海市淞谊中学,上海市吴淞中学,0,8
宝山区,131002,上海市淞谊中学,上海大学附属中学,0,8
宝山区,131002,上海市淞谊中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131004,上海市宝山区教育学院附属中学,上海市行知中学,0,6
宝山区,131004,上海市宝山区教育学院附属中学,上海市吴淞中学,0,6
宝山区,131004,上海市宝山区教育学院附属中学,上海大学附属中学,0,6
宝山区,131004,上海市宝山区教育学院附属中学,华东师范大学第二附属中学(宝山校区),0,3
宝山区,131004,上海市宝山区教育学院附属中学,上海师范大学附属中学宝山分校,0,2
宝山区,131006,上海市吴淞初级中学,上海市行知中学,0,1
宝山区,131006,上海市吴淞初级中学,上海市吴淞中学,0,1
宝山区,131006,上海市吴淞初级中学,上海大学附属中学,0,1
宝山区,131006,上海市吴淞初级中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,131006,上海市吴淞初级中学,上海师范大学附属中学宝山分校,0,1
宝山区,131008,上海市海滨第二中学,上海市行知中学,0,1
宝山区,131008,上海市海滨第二中学,上海市吴淞中学,0,2
宝山区,131008,上海市海滨第二中学,上海大学附属中学,0,1
宝山区,131008,上海市海滨第二中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,131008,上海市海滨第二中学,上海师范大学附属中学宝山分校,0,1
宝山区,131009,上海民办宝莲中学,上海市行知中学,0,10
宝山区,131009,上海民办宝莲中学,上海市吴淞中学,0,7
宝山区,131009,上海民办宝莲中学,上海大学附属中学,0,7
宝山区,131009,上海民办宝莲中学,华东师范大学第二附属中学(宝山校区),0,3
宝山区,131009,上海民办宝莲中学,上海师范大学附属中学宝山分校,0,2
宝山区,131010,上海市吴淞第二中学,上海市行知中学,0,2
宝山区,131010,上海市吴淞第二中学,上海市吴淞中学,0,2
宝山区,131010,上海市吴淞第二中学,上海大学附属中学,0,3
宝山区,131010,上海市吴淞第二中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131010,上海市吴淞第二中学,上海师范大学附属中学宝山分校,0,1
宝山区,131011,上海市虎林中学,上海市行知中学,0,3
宝山区,131011,上海市虎林中学,上海市吴淞中学,0,3
宝山区,131011,上海市虎林中学,上海大学附属中学,0,4
宝山区,131011,上海市虎林中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,131011,上海市虎林中学,上海师范大学附属中学宝山分校,0,1
宝山区,131012,上海市泗塘中学,上海市行知中学,0,3
宝山区,131012,上海市泗塘中学,上海市吴淞中学,0,4
宝山区,131012,上海市泗塘中学,上海大学附属中学,0,4
宝山区,131012,上海市泗塘中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,131012,上海市泗塘中学,上海师范大学附属中学宝山分校,0,1
宝山区,131013,上海市宝山区求真中学北校,上海市行知中学,0,1
宝山区,131013,上海市宝山区求真中学北校,上海市吴淞中学,0,1
宝山区,131013,上海市宝山区求真中学北校,上海大学附属中学,0,2
宝山区,131013,上海市宝山区求真中学北校,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131013,上海市宝山区求真中学北校,上海师范大学附属中学宝山分校,0,1
宝山区,131014,上海市宝山区求真中学南校,上海市行知中学,0,3
宝山区,131014,上海市宝山区求真中学南校,上海市吴淞中学,0,3
宝山区,131014,上海市宝山区求真中学南校,上海大学附属中学,0,1
宝山区,131014,上海市宝山区求真中学南校,上海师范大学附属中学宝山分校,0,1
宝山区,131015,上海市长江第二中学,上海市行知中学,0,5
宝山区,131015,上海市长江第二中学,上海市吴淞中学,0,6
宝山区,131015,上海市长江第二中学,上海大学附属中学,0,6
宝山区,131015,上海市长江第二中学,华东师范大学第二附属中学(宝山校区),0,3
宝山区,131015,上海市长江第二中学,上海师范大学附属中学宝山分校,0,1
宝山区,131016,上海市宝山区求真中学,上海市行知中学,0,6
宝山区,131016,上海市宝山区求真中学,上海市吴淞中学,0,7
宝山区,131016,上海市宝山区求真中学,上海大学附属中学,0,7
宝山区,131016,上海市宝山区求真中学,华东师范大学第二附属中学(宝山校区),0,3
宝山区,131016,上海市宝山区求真中学,上海师范大学附属中学宝山分校,0,2
宝山区,131018,上海市大场中学,上海市行知中学,0,4
宝山区,131018,上海市大场中学,上海市吴淞中学,0,3
宝山区,131018,上海市大场中学,上海大学附属中学,0,3
宝山区,131018,上海市大场中学,上海师范大学附属中学宝山分校,0,2
宝山区,131019,上海市大华中学,上海市行知中学,0,2
宝山区,131019,上海市大华中学,上海市吴淞中学,0,3
宝山区,131019,上海市大华中学,上海大学附属中学,0,2
宝山区,131019,上海市大华中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131019,上海市大华中学,上海师范大学附属中学宝山分校,0,1
宝山区,131020,上海市月浦中学,上海市行知中学,0,3
宝山区,131020,上海市月浦中学,上海市吴淞中学,0,4
宝山区,131020,上海市月浦中学,上海大学附属中学,0,3
宝山区,131020,上海市月浦中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131020,上海市月浦中学,上海师范大学附属中学宝山分校,0,1
宝山区,131023,上海市罗泾中学,上海市行知中学,0,4
宝山区,131023,上海市罗泾中学,上海市吴淞中学,0,4
宝山区,131023,上海市罗泾中学,上海大学附属中学,0,3
宝山区,131023,上海市罗泾中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131023,上海市罗泾中学,上海师范大学附属中学宝山分校,0,1
宝山区,131026,上海市罗南中学,上海市行知中学,0,4
宝山区,131026,上海市罗南中学,上海市吴淞中学,0,3
宝山区,131026,上海市罗南中学,上海大学附属中学,0,3
宝山区,131026,上海市罗南中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131026,上海市罗南中学,上海师范大学附属中学宝山分校,0,1
宝山区,131035,上海市民办交华中学,上海市行知中学,0,6
宝山区,131035,上海市民办交华中学,上海市吴淞中学,0,6
宝山区,131035,上海市民办交华中学,上海大学附属中学,0,7
宝山区,131035,上海市民办交华中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131035,上海市民办交华中学,上海师范大学附属中学宝山分校,0,2
宝山区,131036,上海市宝山实验学校高境分校,上海市行知中学,0,3
宝山区,131036,上海市宝山实验学校高境分校,上海市吴淞中学,0,4
宝山区,131036,上海市宝山实验学校高境分校,上海大学附属中学,0,3
宝山区,131036,上海市宝山实验学校高境分校,华东师范大学第二附属中学(宝山校区),0,1
宝山区,131036,上海市宝山实验学校高境分校,上海师范大学附属中学宝山分校,0,2
宝山区,131038,上海市宝山区罗店第二中学,上海市行知中学,0,3
宝山区,131038,上海市宝山区罗店第二中学,上海市吴淞中学,0,3
宝山区,131038,上海市宝山区罗店第二中学,上海大学附属中学,0,4
宝山区,131038,上海市宝山区罗店第二中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131038,上海市宝山区罗店第二中学,上海师范大学附属中学宝山分校,0,1
宝山区,131039,上海市宝山区乐之中学,上海市行知中学,0,2
宝山区,131039,上海市宝山区乐之中学,上海市吴淞中学,0,3
宝山区,131039,上海市宝山区乐之中学,上海大学附属中学,0,2
宝山区,131039,上海市宝山区乐之中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,131039,上海市宝山区乐之中学,上海师范大学附属中学宝山分校,0,1
宝山区,131040,上海市宝山区美兰湖中学,上海市行知中学,0,2
宝山区,131040,上海市宝山区美兰湖中学,上海市吴淞中学,0,3
宝山区,131040,上海市宝山区美兰湖中学,上海大学附属中学,0,2
宝山区,131040,上海市宝山区美兰湖中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,131040,上海市宝山区美兰湖中学,上海师范大学附属中学宝山分校,0,1
宝山区,131041,上海市宝山区杨泰实验中学,上海市行知中学,0,9
宝山区,131041,上海市宝山区杨泰实验中学,上海市吴淞中学,0,8
宝山区,131041,上海市宝山区杨泰实验中学,上海大学附属中学,0,8
宝山区,131041,上海市宝山区杨泰实验中学,华东师范大学第二附属中学(宝山校区),0,4
宝山区,131041,上海市宝山区杨泰实验中学,上海师范大学附属中学宝山分校,0,2
