序号,学校全称,招生代码,所属区,办别,学校类型,备注
250,华东政法大学附属松江高级中学,172003,松江区,公办,一般高中,
251,东华大学附属松江高级中学,173003,松江区,公办,一般高中,
252,上海市松江区科德高级中学,173002,松江区,民办,一般高中,
253,上海市松江区立达中学,174001,松江区,公办,一般高中,
254,上海市松江区第四中学,174002,松江区,公办,一般高中,
255,上海市松江区民办茸一中学,174007,松江区,民办,一般高中,
256,上海市松江九峰实验学校,174008,松江区,民办,一般高中,
257,上海领科双语学校,174013,松江区,民办,一般高中,
258,上海市西外外国语学校,175018,松江区,民办,一般高中,含国际课程班
259,上海民办包玉刚实验高中,175021,松江区,民办,一般高中,国际课程班
260,上海赫贤学校,175024,松江区,民办,一般高中,
261,上海松江区爱菊学校,175025,松江区,民办,一般高中,
262,上海市青浦高级中学,182001,青浦区,公办,市实验性示范性高中,
263,上海市朱家角中学,183002,青浦区,公办,市实验性示范性高中,
264,复旦大学附属中学青浦分校,182002,青浦区,公办,享受市实验性示范性高中招生政策高中,
265,上海市青浦区第一中学,184005,青浦区,公办,区实验性示范性高中(市特色普通高中),
266,上海市青浦区第二中学,184003,青浦区,公办,一般高中,
267,上海市青浦区东湖中学,184004,青浦区,公办,一般高中,
268,上海青浦区世外高级中学,184006,青浦区,民办,一般高中,
269,上海青浦区宏润博源高级中学,184007,青浦区,民办,一般高中,
270,上海宋庆龄学校,185008,青浦区,民办,一般高中,
271,上海青浦区协和双语学校,185014,青浦区,民办,一般高中,
272,上海市奉贤中学,202001,奉贤区,公办,市实验性示范性高中,
273,华东师范大学第二附属中学临港奉贤分校,202002,奉贤区,公办,享受市实验性示范性高中招生政策高中,
274,华东理工大学附属奉贤曙光中学,203002,奉贤区,公办,区实验性示范性高中(市特色普通高中),
275,东华大学附属奉贤致远中学,204001,奉贤区,公办,区实验性示范性高中,
276,上海市奉贤区奉城高级中学,204005,奉贤区,公办,一般高中,
277,上海师范大学第四附属中学,204006,奉贤区,公办,一般高中,
278,上海市奉贤区景秀高级中学,204008,奉贤区,公办,一般高中,
279,上海奉贤区博华高级中学,205006,奉贤区,民办,一般高中,
280,上海美达菲双语高级中学,204020,奉贤区,民办,一般高中,
281,上海市崇明中学,512000,崇明区,公办,市实验性示范性高中,
282,上海市实验学校东滩高级中学,512001,崇明区,公办,享受市实验性示范性高中招生政策高中,
283,上海市崇明区城桥中学,514001,崇明区,公办,区实验性示范性高中(市特色普通高中),
