district,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score
黄浦区,152004,6,2025,700.5,130.0,128.0,123.0,,,,
黄浦区,153001,8,2025,718.5,129.0,125.0,140.0,,,,
黄浦区,153004,2,2025,702.5,121.0,123.0,135.0,,,,
黄浦区,153005,8,2025,712.5,118.0,128.0,139.0,,,,
黄浦区,152005,12,2025,748.0,140.0,130.0,136.0,,,,
黄浦区,162000,2,2025,703.5,130.0,124.0,132.0,,,,
黄浦区,163002,3,2025,700.5,112.0,126.0,128.0,,,,
黄浦区,172001,2,2025,743.0,141.0,122.0,137.0,,,,
黄浦区,173001,5,2025,700.5,124.0,121.0,134.0,,,,
黄浦区,174003,2,2025,733.0,139.0,125.0,141.0,,,,
黄浦区,182001,2,2025,719.5,133.0,129.0,123.0,,,,
黄浦区,183002,3,2025,659.5,140.0,103.0,124.0,,,,
黄浦区,182002,2,2025,752.5,150.0,131.0,125.0,,,,
黄浦区,202001,2,2025,743.0,145.0,124.0,138.0,,,,
黄浦区,202002,4,2025,737.0,133.0,126.0,141.0,,,,
黄浦区,512000,2,2025,688.5,128.0,113.0,135.0,,,,
金山区,042032,4,2025,733.5,141.0,123.0,143.0,,,,
金山区,102056,3,2025,753.5,148.0,129.0,140.0,,,,
金山区,102057,4,2025,755.0,150.0,121.0,143.0,,,,
金山区,152003,5,2025,715.5,136.0,118.0,140.0,,,,
金山区,152006,2,2025,712.5,141.0,120.0,139.0,,,,
金山区,042001,3,2025,708.0,107.0,134.0,129.0,,,,
金山区,042008,5,2025,748.5,137.0,127.0,141.0,,,,
金山区,042035,5,2025,744.0,147.0,125.0,140.0,,,,
金山区,043015,2,2025,721.5,122.0,128.0,137.0,,,,
金山区,052002,2,2025,741.0,139.0,126.0,136.0,,,,
金山区,053004,1,2025,718.0,136.0,121.0,129.0,,,,
金山区,062002,2,2025,672.0,120.0,117.0,117.0,,,,
金山区,073003,2,2025,680.5,114.0,118.0,118.0,,,,
金山区,092002,2,2025,721.0,135.0,118.0,133.0,,,,
金山区,093001,1,2025,689.0,123.0,123.0,118.0,,,,
金山区,102004,2,2025,720.0,132.0,127.0,129.0,,,,
金山区,122001,6,2025,744.5,138.0,124.0,141.0,,,,
金山区,123001,5,2025,719.0,134.0,129.0,127.0,,,,
金山区,122003,3,2025,725.5,127.0,128.0,133.0,,,,
金山区,132002,1,2025,706.5,136.0,121.0,133.0,,,,
金山区,133001,1,2025,725.0,130.0,128.0,131.0,,,,
金山区,142001,2,2025,702.0,131.0,118.0,122.0,,,,
金山区,142002,4,2025,746.0,149.0,115.0,142.0,,,,
金山区,152001,6,2025,744.0,143.0,121.0,142.0,,,,
金山区,152002,7,2025,733.5,132.0,133.0,130.0,,,,
金山区,152004,6,2025,698.5,118.0,121.0,123.0,,,,
金山区,153001,4,2025,709.5,127.0,125.0,124.0,,,,
金山区,153004,6,2025,697.0,120.0,127.0,138.0,,,,
金山区,153005,1,2025,721.5,127.0,124.0,141.0,,,,
金山区,151078,4,2025,725.0,136.0,124.0,135.0,,,,
金山区,162000,8,2025,748.5,136.0,135.0,142.0,,,,
金山区,163002,8,2025,712.0,135.0,123.0,133.0,,,,
金山区,172001,12,2025,737.5,143.0,120.0,139.0,,,,
金山区,173001,5,2025,713.5,130.0,120.0,139.0,,,,
金山区,174003,6,2025,727.0,131.0,127.0,128.0,,,,
金山区,182001,6,2025,710.0,135.0,124.0,128.0,,,,
