序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
264,012002,上海市格致中学(奉贤校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,20
265,012006,上海市向明中学(浦江校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,15
266,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,黄浦,6
267,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,黄浦,8
268,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,黄浦,3
269,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,黄浦,3
270,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,黄浦,3
271,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,黄浦,3
272,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,黄浦,2
273,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,6
274,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,黄浦,2
275,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,5
276,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,黄浦,1
277,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,3
278,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,2
279,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,黄浦,2
280,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,黄浦,3
281,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,3
282,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,黄浦,2
